nft_url;; supply;; blockchain;; sale_type;; price;; method;; duration;; specific_buyer;; quantity;; *nft_name
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525330231672176641;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #349
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524981686486171649;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #30
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524992681602449409;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #40
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525107030811738113;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #144
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525341226788454401;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #359
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525016870858260481;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #62
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525039960602443777;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #83
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525185096137310209;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #215
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525385207253565441;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #399
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525317037532643329;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #337
